jurisdiction_code,jurisdiction_name,due_date_mode,due_date,offset_months,offset_days,offset_years,title,category,notes,source_url,fiscal_year_end,effective_from,effective_to
AU,Australia,relative,,15,0,,Domestic and Global Minimum Tax Return (Standard),GloBE Tax Return (Standard),"On November 26, 2025, the ATO updated its Pillar Two website guidance to include:

-a sample combined global and domestic minimum tax return for a Group Entity 

-a sample combined global and domestic minimum tax return for a designated local entity (DLE):",https://www.ato.gov.au/api/public/content/51265412a86544219f67c18b92bf4ea5?v=2251e173,,01/01/2024,
AU,Australia,relative,,18,30,,Domestic and Global Minimum Tax Return (Transitional Year),GloBE Tax Return (Transitional),"On November 26, 2025, the ATO updated its Pillar Two website guidance to include:

-a sample combined global and domestic minimum tax return for a Group Entity 

-a sample combined global and domestic minimum tax return for a designated local entity (DLE). 

For a designated local entity (DLE) lodging the form on behalf of group entities, the ATO online services platform has a limitation of 20 entities, which includes the DLE. If a DLE needs to lodge for more than 20 group entities, the CGDMTR will need to be lodged through an API solution, which will support CGDMTR lodgements for up to 300 entities. See the API Portal: https://apiportal.ato.gov.au/api-products/global-and-domestic-minimum-tax

Every in-scope taxpayer will be granted automatic 30-day deferrals for their AIUTR and DMTR lodgments for fiscal years commencing in 2024 (NB this doesn't apply for payment purposes). (ie for a 31/12/2024 the standard transitional filing deadline of June 30, 2026 is extended to July 30, 2026)",https://www.ato.gov.au/api/public/content/51265412a86544219f67c18b92bf4ea5?v=2251e173,,01/01/2024,
AU,Australia,relative,,15,0,,GloBE Information Return - Standard,GloBE Information Return (Standard),Standard Filing,,,01/01/2024,
AU,Australia,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes (Section 127-30) - same filing deadline as the GIR,,,01/01/2024,
AU,Australia,relative,,18,0,,GloBE Information Return - Transitional,GloBE Information Return (Transitional),Only for Transitional Year Filing,,,01/01/2024,
AU,Australia,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes (Section 127-30) - same filing deadline as the GIR,,,01/01/2024,
AU,Australia,relative,,15,0,,Payment (Standard),Payment (Standard),,,,01/01/2024,
AU,Australia,relative,,18,0,,Payment (Transitional Year),Payment (Transitional),,,,01/01/2024,
AS,Austria,relative,,0,0,,Designated Entity Notification,Other Notifications,"Article 76 provides that the UPE can elect an entity in Austria to file and pay on behalf of the minimum tax group members. If no election is made, the responsibility falls to (1) the highest group entity located in Austria or (2) the most economically significant business unit located in Austria.If the UPE makes an election for a different entity, this must be notified to the tax office before the end of calendar year in which the financial year ends. eg for 2024 fiscal years that coincide with the 2024 calendar year, this must be provided by December 31, 2024. The notification is provided on the FinanzOnline website.

Guidance from the tax authority (https://www.bmf.gv.at/rechtsnews/steuern-rechtsnews/aktuelle-infos-und-erlaesse/Fachinformationen---Internationales-Steuerrecht/Beauftragung-einer-abgabepflichtigen-Gesch%C3%A4ftseinheit.html#:~:text=Ja%2C%20die%20Beauftragung%20kann%20formfrei,2%20MinBestG%20%E2%80%9C)%20ausreichend.) states that the notification can be carried out without any formality, for example, a simple sentence such as: ""We instruct business unit A as a taxpayer within the meaning of Section 76 (2) MinBestG"" would  be sufficient. Proof of the assignment is provided by uploading this notification by the business unit located in Austria in PDF format via the upload function in FinanzOnline.","https://www.bmf.gv.at/rechtsnews/steuern-rechtsnews/aktuelle-infos-und-erlaesse/Fachinformationen---Internationales-Steuerrecht/Beauftragung-einer-abgabepflichtigen-Gesch%C3%A4ftseinheit.html#:~:text=Ja%2C%20die%20Beauftragung%20kann%20formfrei,2%20MinBestG%20%E2%80%9C)%20ausreichend",,01/01/2024,
AS,Austria,relative,,15,0,,GloBE Information Return - Standard,GloBE Information Return (Standard),Standard Filing,,,01/01/2024,
AS,Austria,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes (Section 70(2) - same filing deadline as the GIR,,,01/01/2024,
AS,Austria,relative,,18,0,,GloBE Information Return - Transitional,GloBE Information Return (Transitional),Only for Transitional Year Filing,,,01/01/2024,
AS,Austria,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes (Section 70(2) - same filing deadline as the GIR,,,01/01/2024,
AS,Austria,relative_dec31_year_plus,,,,2,GloBE Tax Return,GloBE Tax Return (Standard),Article 77 of the Law also requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by December 31 of the second calendar year following the last day of the calendar year in which the financial year ends.,,,01/01/2024,
AS,Austria,relative_dec31_year_plus,,,,2,Payment,Payment (Standard),Article 77 of the Law requires payment of top-up tax by December 31 of the second calendar year following the last day of the calendar year in which the financial year ends.,,,01/01/2024,
BS,Bahamas,relative,,15,0,,GloBE Information Return - Standard,GloBE Information Return (Standard),Standard Filing,,,01/01/2025,
BS,Bahamas,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Section 6(1) of the Law applies the Standard GloBE filing rules as provided in the OECD Model Rules. Therefore the standard GloBE notifications apply.,,,01/01/2025,
BS,Bahamas,relative,,18,0,,GloBE Information Return - Transitional,GloBE Information Return (Transitional),Only for Transitional Year Filing,,,01/01/2025,
BS,Bahamas,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Section 6(1) of the Law applies the Standard GloBE filing rules as provided in the OECD Model Rules. Therefore the standard GloBE notifications apply.,,,01/01/2025,
BS,Bahamas,relative,,15,0,,Payment (Standard),Payment (Standard),"Under Section 7 of the Law, DMTT is payable to the Financial Secretary no later than the GIR filing deadline. Payments of DMTT must be in Bahamian currency.",,,01/01/2025,
BS,Bahamas,relative,,18,0,,Payment (Transitional),Payment (Transitional),"Under Section 7 of the Law, DMTT is payable to the Financial Secretary no later than the GIR filing deadline. Payments of DMTT must be in Bahamian currency.",,,01/01/2025,
BS,Bahamas,fixed,31/03/2026,,,,Pre-Registration Form,Registration (Standard),"The Bahamas Tax Authority have issued Form DMTT -24. This is a one-time form and is only required for Entities falling in scope of the Domestic Minimum Tax Act for the Fiscal Year beginning in 2024. The filing deadline is March 31, 2026. 

https://inlandrevenue.finance.gov.bs/wp-content/uploads/2026/02/DMTT-Notification-Form-Instructions%E2%80%A8.pdf",https://inlandrevenue.finance.gov.bs/wp-content/uploads/2026/03/DMTT_Notification_Form_v1.1.pdf,,01/01/2024,
BH,Bahrain,relative,,15,0,,GloBE Information Return - Standard,GloBE Information Return (Standard),Standard Filing,,,01/01/2025,
BH,Bahrain,relative,,18,0,,GloBE Information Return - Transitional,GloBE Information Return (Transitional),Only for Transitional Year Filing,,,01/01/2025,
